Timestamp,Temperature,Wind Speed,Pressure,Humidity
2019-12-31T19:00:00,8.3,3.6,993,53
2019-12-31T19:15:00,7.9,3.93,993,54
2019-12-31T19:30:00,7.6,4.26,993,56
2019-12-31T19:45:00,7.2,4.59,993,57
2019-12-31T20:00:00,7.1,4.09,993,58
2019-12-31T20:15:00,7,3.59,993,59
2019-12-31T20:30:00,6.8,3.1,993,61
2019-12-31T20:45:00,6.7,2.6,994,62
2019-12-31T21:00:00,7.3,2.47,994,60
2019-12-31T21:15:00,7.8,2.35,994,59
2019-12-31T21:30:00,8.3,2.22,994,57
2019-12-31T21:45:00,8.9,2.1,994,56
2019-12-31T22:00:00,8.3,1.57,994,57
2019-12-31T22:15:00,7.8,1.05,994,59
2019-12-31T22:30:00,7.3,0.52,994,60
2019-12-31T22:45:00,6.7,3.3,995,62
2019-12-31T23:00:00,6.5,0.65,994,62
2019-12-31T23:15:00,6.4,1.3,994,62
2019-12-31T23:30:00,6.3,1.95,994,62
2019-12-31T23:45:00,6.1,2.6,994,62
2020-01-01T00:00:00,6.1,1.95,994,60
2020-01-01T00:15:00,6.1,1.3,994,59
2020-01-01T00:30:00,6.1,0.64,994,58
2020-01-01T00:45:00,6.1,3.5,995,57
2020-01-01T01:00:00,6.1,3.6,995,57
2020-01-01T01:15:00,5.2,0.86,995,61
2020-01-01T01:30:00,4.2,1.73,995,65
2020-01-01T01:45:00,3.3,2.6,995,69
2020-01-01T02:00:00,3.6,2.32,995,67
2020-01-01T02:15:00,3.9,2.04,995,65
2020-01-01T02:30:00,4.1,1.77,995,64
2020-01-01T02:45:00,4.4,1.5,995,62
2020-01-01T03:00:00,4.5,1.12,995,61
2020-01-01T03:15:00,4.7,0.75,995,60
2020-01-01T03:30:00,4.8,0.37,995,60
2020-01-01T03:45:00,5,3.3,995,59
2020-01-01T04:00:00,5,0.37,995,59
2020-01-01T04:15:00,5,0.75,995,59
2020-01-01T04:30:00,5,1.12,995,59
2020-01-01T04:45:00,5,1.5,995,59
2020-01-01T05:00:00,4.7,1.5,995,60
2020-01-01T05:15:00,4.5,1.5,995,62
